25	52	164	240	274	328	368	448	538	561	630	687	730	775	825	834			
39	120	124	205	401	581	704	814	825	834									
35	249	674	712	733	759	854	950											
39	422	449	704	825	857	895	937	954	964									
15	229	262	283	294	352	381	708	738	766	853	883	966	978					
26	104	143	320	569	620	798												
7	185	214	350	529	658	682	782	809	849	883	947	970	979					
227	390																	
71	192	208	272	279	280	300	333	496	529	530	597	618	674	675	720	855	914	932
183	193	217	256	276	277	374	474	483	496	512	529	626	653	706	878	939		
161	175	177	424	490	571	597	623	766	795	853	910	960						
125	130	327	698	699	839													
392	461	569	801	862														
27	78	104	177	733	775	781	845	900	921	938								
101	147	229	350	411	461	572	579	657	675	778	803	842	903					
71	208	217	266	279	290	458	478	523	614	766	853	888	944	969				
43	70	176	204	227	334	369	480	513	703	708	835	874	895					
25	52	278	730															
151	432	504	830	890														
71	73	118	274	310	327	388	419	449	469	484	706	722	795	810	844	846	918	
